Major_category,Median
Computers & Mathematics,50000
Computers & Mathematics,65000
Computers & Mathematics,60000
Computers & Mathematics,78000
Computers & Mathematics,68000
Computers & Mathematics,55000
Computers & Mathematics,55000
Computers & Mathematics,66000
Computers & Mathematics,70000
Computers & Mathematics,70000
Computers & Mathematics,92000
Education,43000
Education,58000
Education,41000
Education,40000
Education,43000
Education,48400
Education,35300
Education,46000
Education,45000
Education,42000
Education,45000
Education,42000
Education,42600
Education,50000
Education,40000
Health,50000
Health,42000
Health,50000
Health,55000
Health,60000
Health,50000
Health,62000
Health,106000
Health,61000
Health,47000
Health,45000
Business,60000
Business,65000
Business,72000
Business,58000
Business,65000
Business,65000
Business,56000
Business,65000
Business,54000
Business,54000
Business,49000
Business,72000
Business,53000
Humanities & Liberal Arts,50000
Humanities & Liberal Arts,50000
